filename,size
arnold-palmer_models,14714688
arnold-palmer_outputs,126035
big-grains_models,14722048
big-grains_outputs,120096
corundum-20-bb_models,14722048
corundum-20-bb_outputs,128096
Crystalline-20-bb_models,14722048
Crystalline-20-bb_outputs,134096
fifth-iron_models,2946048
fifth-iron_outputs,27296
grams-carbon_models,25467488
grams-carbon_outputs,1032508
grams-oxygen_models,121835648
grams-oxygen_outputs,5766496
H11-LMC_models,749009808
H11-LMC_outputs,58272139
H11-SMC_models,750319968
H11-SMC_outputs,58374058
half-iron_models,2946048
half-iron_outputs,26896
J1000-LMC_models,703632128
J1000-LMC_outputs,54912936
J1000-SMC_models,704901088
J1000-SMC_outputs,55011958
one-fifth-carbon_models,2946048
one-fifth-carbon_outputs,29696
Oss-Orich-aringer_models,14722048
Oss-Orich-aringer_outputs,134096
Oss-Orich-bb_models,14722048
Oss-Orich-bb_outputs,124096
Zubko-Crich-aringer_models,14324608
Zubko-Crich-aringer_outputs,134478
Zubko-Crich-bb_models,13021888
Zubko-Crich-bb_outputs,113774