1.24,0.00239,,2MASS:J
1.24,0.00273,0.00012,2MASS:J
1.24,0.003,0.00014,2MASS:J
1.25,0.00226,0.00002,Johnson:J
1.25,0.00276,0.00012,:=1.250um
1.25,0.00278,0.00012,Johnson:J
1.25,0.00312,0.00005,Johnson:J
1.63,0.00841,0.00008,Johnson:H
1.63,0.0123,0.0002,Johnson:H
1.63,0.0125,0.0003,Johnson:H
1.65,0.0107,,2MASS:H
1.65,0.0121,0.0002,:=1.65um
1.65,0.0124,0.0003,2MASS:H
1.65,0.0132,0.0002,2MASS:H
2.16,0.0371,,2MASS:Ks
2.16,0.0372,0.0008,2MASS:Ks
2.16,0.0385,0.0007,2MASS:Ks
2.17,0.0367,0.0008,:=2.17um
2.17,0.0367,0.0008,:=2.17um
2.19,0.0272,0.0005,Johnson:K
2.19,0.036,0.0008,Johnson:K
2.19,0.0364,0.0005,Johnson:K
3.55,0.162,0.004,Spitzer/IRAC:3.6
3.55,0.173,0.006,Spitzer/IRAC:3.6
3.6,0.163,0.004,:=3.6um
4.49,0.206,0.005,Spitzer/IRAC:4.5
4.49,0.216,0.006,Spitzer/IRAC:4.5
4.5,0.206,0.005,:=4.5um
5.73,0.237,0.003,Spitzer/IRAC:5.8
5.73,0.252,0.005,Spitzer/IRAC:5.8
5.8,0.237,0.003,:=5.8um
7.87,0.315,0.008,Spitzer/IRAC:8.0
7.87,0.333,0.012,Spitzer/IRAC:8.0
8,0.315,0.008,:=8um
8.28,0.319,,MSX:A
8.28,0.383,,MSX:A
8.28,0.385,0.017,MSX:A
8.61,0.174,0.007,AKARI:S9W
12.1,0.618,0.05,MSX:C
14.6,0.355,0.035,MSX:D
18.4,0.285,0.009,AKARI:L18W
23.7,0.451,0.004,Spitzer/MIPS:24